GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.dto,StringListConverter,20,3,4,0,2,1,4,1,2,1
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.rest.admin,AdminRest,52,12,0,0,9,1,7,1,7,1
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.service,OrganizationService,5,3,0,0,2,1,1,1,1,1
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.dto.response,WaterBoxResponse,87,0,0,0,10,0,18,0,18,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.dto.response,WaterBoxResponse.WaterBoxResponseBuilder,81,0,0,0,1,0,11,0,11,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.dto.response,WaterBoxAssignmentResponse.WaterBoxAssignmentResponseBuilder,90,0,0,0,1,0,12,0,12,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.dto.response,WaterBoxAssignmentResponse,97,0,0,0,11,0,20,0,20,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.dto.response,WaterBoxTransferResponse,77,0,0,0,9,0,16,0,16,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.dto.response,WaterBoxTransferResponse.WaterBoxTransferResponseBuilder,72,0,0,0,1,0,10,0,10,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.rest.superAdmin,SuperAdminRest,107,12,0,0,19,1,17,1,17,1
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.dto.request,WaterBoxAssignmentRequest.WaterBoxAssignmentRequestBuilder,45,0,0,0,1,0,7,0,7,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.dto.request,WaterBoxTransferRequest,57,0,0,0,7,0,12,0,12,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.dto.request,WaterBoxRequest,57,0,0,0,7,0,12,0,12,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.dto.request,WaterBoxTransferRequest.WaterBoxTransferRequestBuilder,54,0,0,0,1,0,8,0,8,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.dto.request,WaterBoxAssignmentRequest,47,0,0,0,6,0,10,0,10,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.dto.request,WaterBoxRequest.WaterBoxRequestBuilder,54,0,0,0,1,0,8,0,8,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.application.services.impl,WaterBoxTransferService,241,12,16,0,52,1,17,1,9,1
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.application.services.impl,WaterBoxService,232,6,6,0,55,1,16,1,13,1
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.application.services.impl,WaterBoxAssignmentService,339,9,10,0,73,1,23,1,18,1
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.exceptions,BadRequestException,4,0,0,0,2,0,1,0,1,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.exceptions,GlobalExceptionHandler.ErrorDetails,48,0,0,0,18,0,7,0,7,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.exceptions,NotFoundException,4,0,0,0,2,0,1,0,1,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.exceptions,GlobalExceptionHandler,108,3,4,0,29,1,7,1,5,1
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.application.config,CorsConfig,0,109,0,0,0,11,0,2,0,2
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.application.config,OpenApiConfig,0,35,0,0,0,13,0,2,0,2
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura,MsInfraestructuraApplication,5,3,0,0,2,1,1,1,1,1
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.infrastructure.rest.client,ClientRest,43,12,0,0,8,1,8,1,8,1
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.domain.models,WaterBoxAssignment.WaterBoxAssignmentBuilder,90,0,0,0,1,0,12,0,12,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.domain.models,WaterBoxTransfer,77,3,0,0,10,1,16,1,16,1
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.domain.models,WaterBoxAssignment,97,3,0,0,12,1,20,1,20,1
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.domain.models,WaterBox,39,51,0,0,3,9,10,9,10,9
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.domain.models,WaterBoxTransfer.WaterBoxTransferBuilder,72,0,0,0,1,0,10,0,10,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.domain.models,WaterBox.WaterBoxBuilder,81,0,0,0,1,0,11,0,11,0
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.domain.enums,Status,0,15,0,0,0,3,0,1,0,1
ms_infraestructura,pe.edu.vallegrande.ms_infraestructura.domain.enums,BoxType,0,21,0,0,0,4,0,1,0,1
